Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
B12	2X	Washington	DesMoines	DesMoines	MidwaySewerDistrict	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		31.571	318.349	98.9533	75797			286.527	95.6994	69113
2711	10X	Arizona	Tempe	TP01	TP01	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		30.218	2474.93	99.6121	592272			2025.47	95.6259	491408
2998	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		31.13	4369.9	99.6121	1039542			3948.93	95.6024	947928
B269	5X	Washington	DesMoines	Redondo	Redondo	2022-01-31	2022-02-01	2022-02-02		Batch7		28.157						1365.18	95.5857	328267
B51	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-30	2021-08-31	2021-09-01	21-08	Batch3		29.258	431.615	98.3246	101498			385.857	95.5824	92813
3283	16X	Arizona	Tempe	College	College	2022-01-19	2022-01-20	2022-01-20		Batch7		30.746						2457.19	95.5657	579610
BD19	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-12-27	2021-12-28	2021-01-04		Batch7		29.291						2714.74	95.5255	640236
B62	29X	Kentucky	Louisville	Lousville	Site 1692/MH57350 Preston & South Park	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		30.622	3499.08	99.5853	838666			3134.54	95.4754	756234
G386	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-10-11	2021-10-12	2021-10-12	21-10	Batch4		29.305	2843.81	99.0034	694256			2433.59	95.462	606760
B175	29X	Kentucky	Louisville	Lousville	Site 1916	2021-11-21	2021-11-22	2021-11-23		Batch5		30.652	1257.09	99.602	308283			1047.44	95.4486	262444
B1	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-07-19	2021-07-20	2021-07-21	21-07	Batch1		32.976	11316	99.5385	2679242			10163.4	95.4152	2398557
B183	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSAAdamsSt.Hoboken	2021-11-21	2021-11-22	2021-11-24		Batch5		30.827	4521.33	99.6121	1080820			3822.13	95.4152	929650
B234	36X	Texas	Houston	West District	West District	2022-01-03	2022-01-04	2022-01-05		Batch6		28.193						1430.25	95.3817	342708
2996	33X	Arizona	Tempe	TP06	Spence/TP06	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		29.996	5225.98	99.6121	1247727			4348.27	95.3784	1041791
B185	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-11-22	2021-11-23	2021-11-24		Batch5		32.032	1303.8	99.5987	311899			1139.92	95.3583	275146
